Track Name,Artist(s),Album,Release Date,Duration (ms),Spotify URL
luther (with sza),"Kendrick Lamar, SZA",GNX,2024-11-22,177598,https://open.spotify.com/track/45J4avUb9Ni0bnETYaYFVJ
reincarnated,Kendrick Lamar,GNX,2024-11-22,275740,https://open.spotify.com/track/0RgjEkSbeuStKfT2Pa4Zai
tv off (feat. lefty gunplay),"Kendrick Lamar, Lefty Gunplay",GNX,2024-11-22,220690,https://open.spotify.com/track/0aB0v4027ukVziUGwVGYpG
"dodger blue (feat. wallie the sensei, siete7x, roddy ricch)","Kendrick Lamar, Wallie the Sensei, Siete7x, Roddy Ricch",GNX,2024-11-22,131240,https://open.spotify.com/track/4K1Pg0FLno1ltzX3jeqT83
heart pt. 6,Kendrick Lamar,GNX,2024-11-22,292461,https://open.spotify.com/track/1SGvjfc85yzqKXsfKcCxn2
Back on the Road (feat. Lil Wayne),"Cordae, Lil Wayne",The Crossroads,2024-11-15,156786,https://open.spotify.com/track/3MsEJbnW0SYWNzQ6D1j5Xm
Nothings Promised,Cordae,The Crossroads,2024-11-15,212466,https://open.spotify.com/track/6ciVJWoXXNZeZXfOFd3hhT
Saturday Mornings (feat. Lil Wayne),"Cordae, Lil Wayne",The Crossroads,2024-11-15,262573,https://open.spotify.com/track/0wT5T8Cstp8XvJIWz7kCVn
Now You Know,Cordae,The Crossroads,2024-11-15,131413,https://open.spotify.com/track/0K3k2jBNMzBbbLeNC55VSG
¿Cómo Así?,Kali Uchis,ORQUÍDEAS,2024-01-12,169654,https://open.spotify.com/track/54KEm0VI9i3ic7VHHKHKRx
Igual Que Un Ángel (with Peso Pluma),"Kali Uchis, Peso Pluma",ORQUÍDEAS,2024-01-12,260370,https://open.spotify.com/track/6XaJfhwof7qIgbbXO5tIQI
Young Rich & In Love,Kali Uchis,ORQUÍDEAS,2024-01-12,198300,https://open.spotify.com/track/2R6tflIwv19qoYxg5hYLVh
Te Mata,Kali Uchis,ORQUÍDEAS,2024-01-12,232066,https://open.spotify.com/track/1NEBuFp0BJMikgXJI9VVab
TORE UP,Don Toliver,HARDSTONE PSYCHO,2024-06-14,126986,https://open.spotify.com/track/1jKXjxMWlq4BhH6f9GtZbu
