Track Name,Artist(s),Album,Release Date,Duration (ms),Spotify URL
"At Wit's End - From ""Pirates of the Caribbean: At World's End""/Score",Hans Zimmer,Pirates of the Caribbean: At World's End,2007-01-01,485906,https://open.spotify.com/track/4O6dnVzUwgad7FiJ9Ndxs2
True Love,Hans Zimmer,The Creator (Original Motion Picture Soundtrack),2023-09-29,210293,https://open.spotify.com/track/449AOIPUa4I4KudT1r7yt0
Giants of the Deep,"Hans Zimmer, Adam Lukas, James Everingham, AURORA",Frozen Planet II (Original Television Soundtrack),2022-10-07,91803,https://open.spotify.com/track/0EO0ieCZNOUmMZdEq9YvpP
Woad To Ruin,Hans Zimmer,King Arthur,2004-01-01,691840,https://open.spotify.com/track/1CrFxwkDkQfpyydqnfhYJ8
Circle of Life/Nants' Ingonyama,"Lindiwe Mkhize, Lebo M.",The Lion King (Original Motion Picture Soundtrack),2019-07-10,241800,https://open.spotify.com/track/0juMU08O9byWiRBtKM1j5E
...To Die For,Hans Zimmer,The Lion King,1994-01-01,257640,https://open.spotify.com/track/2wQN8tMYOHStr6Q61jh0IK
Macrotus,"James Newton Howard, Hans Zimmer",Batman Begins (Original Motion Picture Soundtrack),2005-06-14,455680,https://open.spotify.com/track/0CXqfoIfhkxNej5VGjphPM
Hunger,Hans Zimmer,Black Hawk Down (Original Motion Picture Soundtrack),2002-01-15,395720,https://open.spotify.com/track/6HZJV8fXNBGJv5wf04FfiA
Stampede,Hans Zimmer,The Lion King (Original Motion Picture Soundtrack),2019-07-10,466946,https://open.spotify.com/track/6aGHQu7gHrYgVSXvF5udUt
The Wedding,Hans Zimmer,Henri 4,2010-03-08,144600,https://open.spotify.com/track/6oXI6CYqwl4pVhbyX6jqJK
"Journey to the Line (From ""The Thin Red Line"" Soundtrack)","Hans Zimmer, Gavin Greenaway",The Thin Red Line,1999-01-11,561840,https://open.spotify.com/track/3bvQ0jV25RWryznubbE3ky
Mekudeshet li (Sacred To Me),"Hans Zimmer, Kara Talve",The Tattooist of Auschwitz (Original Series Soundtrack),2024-05-02,196965,https://open.spotify.com/track/5QZ55SfQRoPfqA6jIqDFFD
Afraid of Time,Hans Zimmer,Interstellar (Original Motion Picture Soundtrack) [Deluxe Version],2014-12-18,152672,https://open.spotify.com/track/1SAop5lZ4KVCAJOMkP7bN3
The End,Hans Zimmer,The Dark Knight Rises (Original Motion Picture Soundtrack) [Deluxe Edition],2012-07-17,373216,https://open.spotify.com/track/4GQCW6Mp2ycP7wxpySCwcF
Peacemaker - The Peacemaker Soundtrack,Hans Zimmer,The Peacemaker,1997-01-01,584733,https://open.spotify.com/track/5OhXNqvOfI6MGh7dD770Mv
Elysium,"Klaus Badelt, Lisa Gerrard, Gavin Greenaway, The Lyndhurst Orchestra",Gladiator - Music From The Motion Picture,2000-04-25,161493,https://open.spotify.com/track/20rmtxljOGVz4T3nSrtAV1
Honor Him,"Hans Zimmer, Gavin Greenaway, The Lyndhurst Orchestra",Gladiator - Music From The Motion Picture,2000-04-25,79840,https://open.spotify.com/track/0p21vI2StdprWPtAGftM5c
Now We Are Free,"Hans Zimmer, Klaus Badelt, Lisa Gerrard, Gavin Greenaway, The Lyndhurst Orchestra",Gladiator - Music From The Motion Picture,2000-04-25,254293,https://open.spotify.com/track/1elGwF4VwkwglV4nCBPJtv
Beginnings Are Such Delicate Times,Hans Zimmer,Dune: Part Two (Original Motion Picture Soundtrack),2024-02-23,536280,https://open.spotify.com/track/299rXvRKRr5E32DvIbk1sn
Corynorhinus,"James Newton Howard, Hans Zimmer",Batman Begins (Original Motion Picture Soundtrack),2005-06-14,304440,https://open.spotify.com/track/0hzNG6ZAzoYvgNA50TMzOw
Prehistoric Planet Suite,"Anže Rozman, Kara Talve, Hans Zimmer, Andrew James Christie",Prehistoric Planet: Season 2 (Apple TV+ Original Series Soundtrack),2023-05-22,549893,https://open.spotify.com/track/4Gc8bYxtCGV0YtKYpb6QIS
The Burning Bush,Hans Zimmer,The Prince Of Egypt (Music From The Original Motion Picture Soundtrack),1998-02-11,436666,https://open.spotify.com/track/5tgyHc2LLF0BI2udBTMFJz
House Atreides,Hans Zimmer,The Dune Sketchbook (Music from the Soundtrack),2021-09-03,834480,https://open.spotify.com/track/7heQnEvZJw4yM1fqry7kDy
The Jablonsky Variations On A Theme By HZ / Cameroon Border Post,Hans Zimmer,Tears Of The Sun (Original Motion Picture Soundtrack),2003-01-01,522053,https://open.spotify.com/track/2162E7CmSC5gNyS3KN3PD2
Lovely To See You Again,Hans Zimmer,No Time To Die (Original Motion Picture Soundtrack),2021-10-01,85813,https://open.spotify.com/track/4AiMuxNC1ES3yTzuFnXPwE
Home,Hans Zimmer,No Time To Die (Original Motion Picture Soundtrack),2021-10-01,225146,https://open.spotify.com/track/758bSg93OazKDrAbemPk8i
Harvey Two-Face,"Hans Zimmer, James Newton Howard",The Dark Knight (Original Motion Picture Soundtrack),2008-07-14,375960,https://open.spotify.com/track/0wTzJRNsUzSaon206xY6VZ
Injection,Hans Zimmer,Mission: Impossible 2 (Music from the Original Motion Picture Score),2000,288493,https://open.spotify.com/track/4VAsMomgx5sOa9ZsxBGHkt
Of The Earth,Hans Zimmer,Black Hawk Down (Original Motion Picture Soundtrack),2002-01-15,139146,https://open.spotify.com/track/5ihv0Ee4KDkkaPQX1JHm6G
Reflections of Mufasa,Hans Zimmer,The Lion King (Original Motion Picture Soundtrack),2019-07-10,309280,https://open.spotify.com/track/7eQe6PVlm042ArcDA9w9nn
503,"Hans Zimmer, Joshua Bell, Nick Glennie-Smith",Angels & Demons (Original Motion Picture Soundtrack),2009-05-08,134373,https://open.spotify.com/track/14NE9H2mqNnzTPrAKQt479
A Place in the Sky,Hans Zimmer,The Creator (Original Motion Picture Soundtrack),2023-09-29,145800,https://open.spotify.com/track/2OMq00WmCdv9HlO24iLeUY
Oogway's Legacy,"Hans Zimmer, Lang Lang",Kung Fu Panda 3 (Music from the Motion Picture),2016-01-22,120720,https://open.spotify.com/track/669yRYY5pluCp5dYOcDMDD
Run Free,Hans Zimmer,Spirit: Stallion Of The Cimarron (Music From The Original Motion Picture),2002-05-04,381200,https://open.spotify.com/track/75OrTolKEnimJj625JUIft
Jack Sparrow,Hans Zimmer,Pirates of the Caribbean: Dead Man's Chest (Original Motion Picture Soundtrack),2006-01-01,365426,https://open.spotify.com/track/2PN6TyqjtzffLkLhB4dgEC
Seville,Hans Zimmer,Mission: Impossible 2 (Music from the Original Motion Picture Score),2000,272266,https://open.spotify.com/track/6AaYIqxIh5AI8WvKLDiM1p
The Girl With The Red Hair,"Hans Zimmer, Rupert Gregson-Williams",Winter's Tale (Original Motion Picture Soundtrack),2014-02-04,244783,https://open.spotify.com/track/7sxxcCg2AXaxua5jFdrxbA
Hidden Figures,"Hans Zimmer, Pharrell Williams, Benjamin Wallfisch",Hidden Figures - Original Score,2017-01-06,229133,https://open.spotify.com/track/5p3EucRh0gVBfyRlvhj0t0
Beyond Rangoon,Hans Zimmer,"Good Morning, America!",2005-12-31,611680,https://open.spotify.com/track/4EI72AZotTn1pRHqhgw0w6
Kiss the Ring,Hans Zimmer,Dune: Part Two (Original Motion Picture Soundtrack),2024-02-23,192178,https://open.spotify.com/track/61Ps2sXXwiYCcyAynt81JI
Only I Will Remain,Hans Zimmer,Dune: Part Two (Original Motion Picture Soundtrack),2024-02-23,404360,https://open.spotify.com/track/6yLQmfQLDGtUYHG34W0FcH
Lisan al Gaib,Hans Zimmer,Dune: Part Two (Original Motion Picture Soundtrack),2024-02-23,396945,https://open.spotify.com/track/2YF90rAMJp3QCCZN6zBXOA
"Hoist the Colours - From ""Pirates of the Caribbean: At World's End""/Soundtrack Version","Hans Zimmer, Ted Elliot, Terry Rossio",Pirates of the Caribbean: At World's End,2007-01-01,91080,https://open.spotify.com/track/1xvtgNKtzZwOeLDkxgMzav
To Zuccabar,"Hans Zimmer, Djivan Gasparyan, Gavin Greenaway, The Lyndhurst Orchestra",Gladiator - Music From The Motion Picture,2000-04-25,196093,https://open.spotify.com/track/5GPUE1hsIeaM8RpKNKVZmg
Pirates of the Caribbean Suite: Part 2 - Live,"Hans Zimmer, The Disruptive Collective",LIVE,2023-03-03,299210,https://open.spotify.com/track/6acK32qlYD5u4I6SMiDct6
"What Shall We Die For - From ""Pirates of the Caribbean: At World's End""/Score",Hans Zimmer,Pirates of the Caribbean: At World's End,2007-01-01,122786,https://open.spotify.com/track/5lHiUOPWqKXOCXwmjNm6xT
"Angry and Dead Again - From ""Pirates of the Caribbean: On Stranger Tides""/Soundtrack Version",Rodrigo y Gabriela,Pirates of the Caribbean: On Stranger Tides,2011-01-01,332266,https://open.spotify.com/track/79768hVMwOfHlrnu5KNJdO
Spectres in the Fog,Hans Zimmer,The Last Samurai: Original Motion Picture Score,2003-12-02,247506,https://open.spotify.com/track/3UXgrPK7wtsBaJr1QKjz3G
Vespertilio,"James Newton Howard, Hans Zimmer",Batman Begins (Original Motion Picture Soundtrack),2005-06-14,172480,https://open.spotify.com/track/5s1vSkSpX2N9VqMkt0uWls
Goodbye Brother,Ofra Haza,The Prince Of Egypt (Music From The Original Motion Picture Soundtrack),1998-02-11,331626,https://open.spotify.com/track/2or7hLTTmkG6KH2eKokuMH
Instinct,Hans Zimmer,Green Card (Original Motion Picture Soundtrack),1991-01-01,213092,https://open.spotify.com/track/43EYX6lCgTSDR9iGMGU4ph
Tricky Lover,"Hans Zimmer, Omer Benyamin, Steven Doar",Twilight of the Gods (Soundtrack from the Netflix Series),2024-09-19,178104,https://open.spotify.com/track/5Eb4kRP3IIjjRvenGPowe5
"On Stranger Tides - From ""Pirates of the Caribbean: On Stranger Tides""/Score",Hans Zimmer,Pirates of the Caribbean: On Stranger Tides,2011-01-01,162533,https://open.spotify.com/track/0FW5YmQs8eZ9Gs5BisBNnX
"Drink Up Me Hearties Yo Ho - From ""Pirates of the Caribbean: At World's End""/Score",Hans Zimmer,Pirates of the Caribbean: At World's End,2007-01-01,271866,https://open.spotify.com/track/7a9aeLVkn7DIqFjbanKz0k
A World Apart - End Titles,Hans Zimmer,The Milan Years (Original Motion Picture Soundtrack),2016-04-22,301975,https://open.spotify.com/track/1LHdMINq6R9n6LOkAY8PL6
The Shortening of the Way,Hans Zimmer,The Dune Sketchbook (Music from the Soundtrack),2021-09-03,674173,https://open.spotify.com/track/0D5tJnGJoE8IkVKqR1Sv7d
Mogadishu Blues,Hans Zimmer,Black Hawk Down (Original Motion Picture Soundtrack),2002-01-15,173520,https://open.spotify.com/track/6hZGt4L82BeuFo9ckXmggh
Gortoz A Ran,"Denez Prigent, Lisa Gerrard",Black Hawk Down (Original Motion Picture Soundtrack),2002-01-15,351640,https://open.spotify.com/track/6DvKu2HpfygnUGEhha0JK9
Still Reprise,Hans Zimmer,Black Hawk Down (Original Motion Picture Soundtrack),2002-01-15,132373,https://open.spotify.com/track/1Xz4mKkqpD5VPXlipkUL9Y
Whatever It Takes,"Hans Zimmer, Kara Talve",The Tattooist of Auschwitz (Original Series Soundtrack),2024-05-02,232250,https://open.spotify.com/track/6dU7upUDqJasYhxB4zliT5
Sorrow,"Klaus Badelt, Lisa Gerrard, Gavin Greenaway, The Lyndhurst Orchestra",Gladiator - Music From The Motion Picture,2000-04-25,86306,https://open.spotify.com/track/41FnNTSyRaEw4m4kaGr7h5
Creation Choral,"Hans Zimmer, Lorne Balfe",The Bible (Original TV Series Soundtrack),2013-01-01,128133,https://open.spotify.com/track/1mfQ4M3lmi4QNkSTBRKKMN
"The Journey / Kopano, Pt. 3",Hans Zimmer,Tears Of The Sun (Original Motion Picture Soundtrack),2003-01-01,497853,https://open.spotify.com/track/1coNd3OxX6ESXBqLGAGwqh
Sarajevo - The Peacemaker Soundtrack,Hans Zimmer,The Peacemaker,1997-01-01,521906,https://open.spotify.com/track/36Rh9veZBrr8Ev0T6Lr9xa
Coward,Hans Zimmer,Interstellar (Original Motion Picture Soundtrack) [Expanded Edition],2014-11-18,506876,https://open.spotify.com/track/4GBZUZe04pHVN0TLhejCSS
Missile Launch,Hans Zimmer,The Creator (Original Motion Picture Soundtrack),2023-09-29,181400,https://open.spotify.com/track/2s5clj5ey4v257HOAxBIPD
Prayer,Hans Zimmer,The Creator (Original Motion Picture Soundtrack),2023-09-29,167466,https://open.spotify.com/track/5ncGjbPc0hxes4HR3NOprz
Organ Variation,Hans Zimmer,Interstellar (Original Motion Picture Soundtrack) [Expanded Edition],2014-11-18,291805,https://open.spotify.com/track/6dkJvNZ7DJWzTFXv3KHmoT
